Name,Email,Phone,Address,Organization,Notes
John Doe,john@example.com,888999000,456 Maple St,543 Co,tte
Alex Green,alex@example.com,777888999,123 Pine St,876 Ltd,sdfs
Laura Lee,laura@example.com,333444555,789 Oak St,,sdfs
Mike Johnson,mike@example.com,666777888,456 Cedar St,654 Corp,sdfs
Sophie Miller,sophie@example.com,111222333,123 Birch St,321 Ltd,sdfs
Chris Davis,chris@example.com,444555666,789 Maple St,,
Eva White,eva@example.com,999888777,,456 Ltd,sdfs
Alice Johnson,alice@example.com,555111222,789 Elm St,123 Co,sdfs
Bob Brown,bob@example.com,555111222,456 Oak St,XYZ Ltd,
Jane Smith,jane@example.com,987654321,,ABC Inc,sdfs
